x,y
140.81795865576714,1377.8049978008494
140.88579339962064,1378.3003555474513
140.95362814347413,1378.7957132940533
141.02146288732763,1379.2910710406552
141.08906967946984,1379.7864578413237
141.15667647161206,1380.2818446419922
141.22428326375427,1380.7772314426606
141.2918900558965,1381.2726182433291
141.3524303182811,1381.7689330876349
141.41297058066573,1382.2652479319406
141.47351084305035,1382.7615627762464
141.5330579915816,1383.2580000366338
141.59260514011282,1383.7544372970212
141.65215228864406,1384.2508745574087
141.71148521221494,1384.747336335353
141.77081813578582,1385.2437981132975
141.8301510593567,1385.740259891242
141.88975836535224,1386.2366899965332
141.94936567134778,1386.7331201018244
142.00897297734332,1387.2295502071156
142.06789730615287,1387.7260626903508
142.12682163496243,1388.222575173586
142.18574596377198,1388.719087656821
142.24467029258153,1389.2156001400563
142.30395130611385,1389.7120732659926
142.36323231964616,1390.2085463919288
142.42251333317847,1390.7050195178651
142.48182094630477,1391.201489239644
142.54112855943106,1391.6979589614227
142.60043617255735,1392.1944286832015
142.66007432174558,1392.6908591985532
142.7197124709338,1393.1872897139049
142.77935062012205,1393.6837202292566
142.83898876931028,1394.1801507446082
142.8986269184985,1394.67658125996
142.95826506768674,1395.1730117753116
143.01861409849903,1395.6693563224342
143.07896312931132,1396.1657008695568
143.1393121601236,1396.6620454166793
143.20058257211213,1397.1582771372537
143.26185298410064,1397.654508857828
143.32312339608916,1398.1507405784023
143.38439380807768,1398.6469722989766
143.4456642200662,1399.143204019551
143.5069346320547,1399.6394357401252
143.56687793425544,1400.1358295358148
143.62682123645618,1400.6322233315043
143.68676453865692,1401.1286171271938
143.74670784085765,1401.6250109228833
143.8066511430584,1402.1214047185729
143.86659444525912,1402.6177985142624
143.9010786383766,1403.116607937213
143.93556283149405,1403.6154173601637
143.97004702461152,1404.1142267831144
144.00453121772898,1404.613036206065
144.03901541084645,1405.1118456290158
144.04540792624323,1405.611801252101
144.05180044164,1406.1117568751863
144.0581929570368,1406.6117124982716
144.06458547243358,1407.1116681213568
144.07097798783036,1407.611623744442
144.07737050322714,1408.1115793675274
144.0804017641815,1408.6115578955744
144.08343302513583,1409.1115364236214
144.08646428609018,1409.6115149516684
144.08939638515164,1410.1114916406143
144.0923284842131,1410.6114683295602
144.09526058327458,1411.1114450185062
144.0969586573192,1411.4009977998212
144.09562265708655,1411.900995987063
144.0942866568539,1412.4009941743047
144.09295065662127,1412.9009923615465
144.09161465638863,1413.4009905487883
144.090278656156,1413.90098873603
144.08908566048694,1414.400987284915
144.0878926648179,1414.9009858337997
144.08669966914886,1415.4009843826846
144.0855066734798,1415.9009829315694
